host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,Prices per Person,,,number_of_reviews
6,14,f,"Athens, Attica, Greece",37.97669,23.73436,Entire apartment,Entire home/apt,2,378,,93,189,,,9
0,,f,"Athens, Attica, Greece",37.98393,23.73763,Entire apartment,Entire home/apt,2,59,25,93,29.5,,,25
100,94,f,,38.00101,23.71452,Entire apartment,Entire home/apt,7,27,404,91,3.857142857,,,404
,100,t,"Athens, Attica, Greece",37.9607,23.73917,Entire apartment,Entire home/apt,4,78,184,98,19.5,,,184
83,83,f,"Athens, Greece",37.97296,23.72936,Entire apartment,Entire home/apt,2,55,131,97,27.5,,,131
100,100,t,"Athens, Attica, Greece",37.96423,23.72773,Entire apartment,Entire home/apt,4,60,285,97,15,,,285
100,100,f,,37.97895,23.75002,Entire apartment,Entire home/apt,3,50,,100,16.66666667,,,6
100,100,f,"Athens, Attica, Greece",37.97141,23.74302,Entire loft,Entire home/apt,2,65,117,98,32.5,,,117
,,f,"Athens, Attica, Greece",37.97618,23.7251,Private room in house,Private room,2,35,190,92,17.5,,,190
100,100,f,"Athens, Attica, Greece",37.97779,23.7085,Entire apartment,Entire home/apt,2,38,256,93,19,,,256
,91,f,"Athens, Attica, Greece",37.96984,23.74318,Entire apartment,Entire home/apt,2,30,113,91,15,,,113
100,,f,"Athens, Attica, Greece",37.98877,23.74009,Entire apartment,Entire home/apt,4,27,21,97,6.75,,,21
,,,"Athens, Attica, Greece",37.96696,23.7253,Entire apartment,Entire home/apt,6,61,198,96,10.16666667,,,198
100,100,f,"Athens, Attica, Greece",37.97744,23.72338,Entire serviced apartment,Entire home/apt,5,61,,,12.2,,,0
100,100,t,"Athens, Attica, Greece",37.96281,23.71812,Entire apartment,Entire home/apt,3,22,270,97,7.333333333,,,270
,,f,"Athens, Greece",37.96746,23.73614,Entire apartment,Entire home/apt,2,60,,,30,,,0
,100,f,"Athina, Greece",37.97617,23.72066,Entire apartment,Entire home/apt,4,41,102,91,10.25,,,102
,,f,,38.00328,23.72694,Entire apartment,Entire home/apt,4,48,,,12,,,0
100,100,f,"Athens, Attica, Greece",37.97757,23.72427,Entire apartment,Entire home/apt,4,86,,93,21.5,,,3
100,100,f,"Athens, Attica, Greece",37.97766,23.72373,Entire apartment,Entire home/apt,5,72,10,96,14.4,,,10
100,100,f,"Athens, Attica, Greece",37.97757,23.7234,Entire apartment,Entire home/apt,4,56,,95,14,,,4
100,100,f,"Athens, Attica, Greece",37.97884,23.72557,Entire apartment,Entire home/apt,2,45,,93,22.5,,,8
100,100,f,"Athens, Attica, Greece",37.97754,23.7252,Entire apartment,Entire home/apt,2,45,13,94,22.5,,,13
100,100,t,"Athens, Attica, Greece",37.97824,23.72949,Entire apartment,Entire home/apt,4,50,187,96,12.5,,,187
100,,f,,37.98503,23.73706,Entire apartment,Entire home/apt,3,56,13,88,18.66666667,,,13
,91,f,"Athens, Attica, Greece",37.99669,23.76006,Entire apartment,Entire home/apt,3,25,324,95,8.333333333,,,324
88,64,f,"Athens, Attica, Greece",38.00961,23.73962,Entire apartment,Entire home/apt,4,29,99,96,7.25,,,99
,,f,"Athens, Attica, Greece",37.97094,23.73185,Entire apartment,Entire home/apt,4,90,,100,22.5,,,2
0,100,t,"Athina, Greece",37.96419,23.721,Entire apartment,Entire home/apt,2,43,10,98,21.5,,,10
0,0,f,,37.98566,23.71828,Entire loft,Entire home/apt,2,33,107,94,16.5,,,107
100,100,f,"Αθήνα, Αττική, Greece",37.98505,23.74133,Entire apartment,Entire home/apt,2,20,,82,10,,,9
100,100,f,,38.01104,23.72973,Entire apartment,Entire home/apt,4,18,101,91,4.5,,,101
95,98,t,"Athens, Attica, Greece",37.97968,23.72325,Entire apartment,Entire home/apt,12,144,13,98,12,,,13
,,,"Athens, Attica, Greece",37.97464,23.74885,Entire apartment,Entire home/apt,4,76,190,98,19,,,190
100,100,f,"Αθήνα, Αττική, Greece",37.97477,23.72799,Entire apartment,Entire home/apt,3,53,317,95,17.66666667,,,317
100,100,t,"Athens, Attica, Greece",37.97963,23.72153,Entire apartment,Entire home/apt,8,37,601,97,4.625,,,601
98,98,f,"Athina, Greece",37.97884,23.73783,Entire apartment,Entire home/apt,5,84,77,90,16.8,,,77
95,98,t,"Athens, Attica, Greece",37.98005,23.72356,Entire apartment,Entire home/apt,3,44,87,95,14.66666667,,,87
100,100,f,,37.99229,23.7298,Entire apartment,Entire home/apt,6,37,16,95,6.166666667,,,16
0,,f,"Athina, Greece",37.9899,23.76069,Entire apartment,Entire home/apt,5,51,,88,10.2,,,6
100,43,f,,37.98116,23.75161,Entire apartment,Entire home/apt,2,50,,,25,,,0
,,t,"Athens, Attica, Greece",37.98097,23.71581,Entire apartment,Entire home/apt,3,40,127,94,13.33333333,,,127
,100,t,"Athens, Greece",37.96802,23.72679,Entire apartment,Entire home/apt,8,58,182,98,7.25,,,182
0,,f,"Athens, Attica, Greece",37.99026,23.75661,Private room in apartment,Private room,2,24,35,85,12,,,35
,,f,,37.97491,23.75031,Entire apartment,Entire home/apt,6,115,,100,19.16666667,,,1
,0,f,"Athens, Attica, Greece",37.99879,23.73627,Private room in apartment,Private room,2,26,48,96,13,,,48
100,,f,"Athens, Greece",37.9707,23.71315,Entire apartment,Entire home/apt,6,65,30,95,10.83333333,,,30
,100,f,,37.97925,23.73493,Entire apartment,Entire home/apt,5,59,163,96,11.8,,,163
25,100,f,"Athens, Attica, Greece",37.9696,23.75014,Entire apartment,Entire home/apt,2,52,80,97,26,,,80
0,,f,,37.97641,23.71161,Entire apartment,Entire home/apt,4,70,,100,17.5,,,1
100,100,t,"Athens, Greece",37.97888,23.72438,Entire loft,Entire home/apt,4,60,236,99,15,,,236
100,92,t,,37.97672,23.71096,Entire apartment,Entire home/apt,2,52,57,98,26,,,57
100,,f,"Athens, Greece",37.97441,23.71492,Entire house,Entire home/apt,4,55,,90,13.75,,,4
100,100,t,"Athina, Greece",37.9691,23.72842,Entire apartment,Entire home/apt,4,130,137,98,32.5,,,137
,,,,37.97251,23.73006,Entire apartment,Entire home/apt,3,21,374,85,7,,,374
100,67,f,"Athens, Greece",37.97199,23.73028,Entire house,Entire home/apt,6,120,124,97,20,,,124
,,f,"Athina, Greece",37.96625,23.72476,Private room in apartment,Private room,2,18,160,95,9,,,160
100,100,f,"Αθήνα, Αττική, Greece",37.97462,23.75331,Entire apartment,Entire home/apt,4,40,,100,10,,,3
75,100,t,"Athens, Greece",37.97745,23.7309,Entire apartment,Entire home/apt,4,70,218,97,17.5,,,218
